rna44377	gene21744
rna49765	gene25106
rna31173	gene12050
rna22259	gene6901
rna22260	gene6901
rna22258	gene6901
rna42039	gene20306
rna42040	gene20306
rna43277	gene21084
rna43276	gene21084
rna43274	gene21084
rna43275	gene21084
rna25699	gene7971
rna25700	gene7971
rna25702	gene7971
rna25701	gene7971
rna30864	gene11745
rna57178	gene29772
rna57179	gene29772
rna57180	gene29772
rna57181	gene29772
rna57182	gene29772
rna57183	gene29772
rna33786	gene14622
rna26506	gene8203
rna26507	gene8203
rna31555	gene12430
rna51676	gene26325
rna55783	gene28874
rna33324	gene14168
rna64115	gene34068
rna64116	gene34068
rna12568	gene3852
rna12569	gene3852
rna12570	gene3852
rna12571	gene3852
rna12567	gene3852
rna23213	gene7190
rna23212	gene7190
rna31113	gene11991
rna33816	gene14651
rna27045	gene8367
rna27042	gene8367
rna27034	gene8367
rna27032	gene8367
rna27038	gene8367
rna27031	gene8367
rna27043	gene8367
rna27037	gene8367
rna27041	gene8367
rna27039	gene8367
rna27040	gene8367
rna27033	gene8367
rna27030	gene8367
rna27036	gene8367
rna27035	gene8367
rna27044	gene8367
rna27052	gene8367
rna27051	gene8367
rna27055	gene8367
rna27058	gene8367
rna27046	gene8367
rna27048	gene8367
rna27060	gene8367
rna27049	gene8367
rna27056	gene8367
rna27050	gene8367
rna27047	gene8367
rna27057	gene8367
rna27061	gene8367
rna27054	gene8367
rna27053	gene8367
rna27059	gene8367
rna27062	gene8367
rna27063	gene8367
rna27064	gene8367
rna27067	gene8367
rna27065	gene8367
rna27066	gene8367
rna59804	gene31460
rna59805	gene31460
rna36531	gene16722
rna36532	gene16722
rna36533	gene16722
rna30753	gene11635
rna32174	gene13040
rna12249	gene3744
rna12248	gene3744
rna43031	gene20934
rna43032	gene20934
rna19826	gene6142
rna19825	gene6142
rna19827	gene6142
rna59391	gene31181
rna38250	gene17838
rna38251	gene17838
rna12740	gene3908
rna12739	gene3908
rna54450	gene28073
rna31224	gene12100
rna62721	gene33214
rna41294	gene19866
rna52963	gene27153
rna57496	gene29973
rna1372	gene438
rna1371	gene438
rna15022	gene4614
rna15023	gene4614
rna15180	gene4665
rna15181	gene4665
rna15183	gene4665
rna15182	gene4665
rna15184	gene4665
rna15179	gene4665
rna15185	gene4665
rna11920	gene3621
rna11919	gene3621
rna815	gene264
rna814	gene264
rna42769	gene20759
rna42770	gene20759
rna42771	gene20759
rna42772	gene20759
rna42773	gene20759
rna42774	gene20759
rna9265	gene2813
rna9264	gene2813
rna9263	gene2813
rna9266	gene2813
rna11804	gene3589
rna11805	gene3589
rna11806	gene3589
rna11810	gene3589
rna11808	gene3589
rna11809	gene3589
rna11807	gene3589
rna11812	gene3589
rna11811	gene3589
rna11813	gene3589
rna11814	gene3589
rna56928	gene29600
rna12004	gene3653
rna12003	gene3653
rna12005	gene3653
rna24340	gene7557
rna24341	gene7557
rna9596	gene2928
rna9597	gene2928
rna12321	gene3770
rna12323	gene3770
rna12324	gene3770
rna12325	gene3770
rna12322	gene3770
rna28477	gene9391
rna30801	gene11682
rna41627	gene20059
rna13227	gene4050
rna13228	gene4050
rna13229	gene4050
rna13226	gene4050
rna13230	gene4050
rna61635	gene32588
rna61636	gene32588
rna61637	gene32588
rna29637	gene10536
rna21707	gene6720
rna21708	gene6720
rna21706	gene6720
rna21709	gene6720
rna21710	gene6720
rna37837	gene17609
rna45003	gene22139
rna28750	gene9660
rna60396	gene31837
rna41308	gene19878
rna30161	gene11047
rna37721	gene17522
rna55111	gene28475
rna37868	gene17632
rna57833	gene30186
rna40913	gene19624
rna25860	gene8006
rna25859	gene8006
rna25858	gene8006
rna25861	gene8006
rna3761	gene1174
rna3760	gene1174
rna3762	gene1174
rna50067	gene25285
rna2177	gene687
rna2176	gene687
rna2175	gene687
rna61052	gene32229
rna61053	gene32229
rna39083	gene18374
rna52949	gene27145
rna34863	gene15683
rna52138	gene26608
rna52139	gene26608
rna30154	gene11040
rna25932	gene8029
rna25933	gene8029
rna34988	gene15775
rna34989	gene15775
rna48865	gene24564
rna47470	gene23727
rna47471	gene23727
rna47472	gene23727
rna62140	gene32875
rna51792	gene26401
rna9715	gene2967
rna9716	gene2967
rna9714	gene2967
