motif	factor
C2H2_ZF_M6358_1.01	ZBTB7B
C2H2_ZF_M6302_1.01	SP1
C2H2_ZF_M6302_1.01	SP2
C2H2_ZF_M6302_1.01	SP3
C2H2_ZF_M6302_1.01	SP4
C2H2_ZF_M6302_1.01	SP5
C2H2_ZF_M6302_1.01	SP6
C2H2_ZF_M6302_1.01	SP7
C2H2_ZF_M6302_1.01	SP8
C2H2_ZF_M6302_1.01	SP9
C2H2_ZF_M6372_1.01	ZNF219
C2H2_ZF_Average_122	ZNF148
C2H2_ZF_Average_122	ZNF281
C2H2_ZF_Average_221	KLF10
C2H2_ZF_Average_221	KLF11
C2H2_ZF_Average_221	KLF12
C2H2_ZF_Average_221	KLF13
C2H2_ZF_Average_221	KLF17
C2H2_ZF_Average_221	KLF2
C2H2_ZF_Average_221	KLF3
C2H2_ZF_Average_221	KLF4
C2H2_ZF_Average_221	KLF5
C2H2_ZF_Average_221	KLF6
C2H2_ZF_Average_221	KLF7
C2H2_ZF_Average_221	KLF8
C2H2_ZF_Average_221	KLF9
C2H2_ZF_Average_221	SP1
C2H2_ZF_Average_221	SP2
C2H2_ZF_Average_221	SP3
C2H2_ZF_Average_221	SP4
C2H2_ZF_Average_221	SP5
C2H2_ZF_Average_221	SP6
C2H2_ZF_Average_221	SP7
C2H2_ZF_Average_221	SP8
C2H2_ZF_Average_221	SP9
C2H2_ZF_Average_221	WT1
Mixed_Average_50	ZNF148
Mixed_Average_50	ZNF281
Mixed_Average_50	ZNF740
Mixed_Average_50	GLIS2
Mixed_Average_50	GLIS3
Mixed_Average_50	PATZ1
Mixed_Average_50	ZIC1
Mixed_Average_50	ZIC2
Mixed_Average_50	ZIC3
Mixed_Average_50	ZIC4
Mixed_Average_50	ZIC5
C2H2_ZF_M4510_1.01	ZBTB7C
C2H2_ZF_Average_205	ZBTB7B
C2H2_ZF_M6240_1.01	PLAG1
SAND_M1429_1.01	SP110
C2H2_ZF_Average_210	MZF1
C2H2_ZF_Average_207	ZIC1
C2H2_ZF_Average_207	ZIC2
C2H2_ZF_Average_207	ZIC3
C2H2_ZF_Average_207	ZIC4
C2H2_ZF_Average_207	ZIC5
Homeodomain_Paired_box_M3587_1.01	PAX4
C2H2_ZF_M6357_1.01	ZBTB7C
C2H2_ZF_M6144_1.01	KLF12
C2H2_ZF_M6144_1.01	KLF17
C2H2_ZF_M6144_1.01	KLF2
C2H2_ZF_M6144_1.01	KLF3
C2H2_ZF_M6144_1.01	KLF4
C2H2_ZF_M6144_1.01	KLF5
C2H2_ZF_M6144_1.01	KLF6
C2H2_ZF_M6144_1.01	KLF7
C2H2_ZF_M6144_1.01	KLF8
Unknown_M6375_1.01	ZNF350
GCM_Average_9	GCM1
GCM_Average_9	GCM2
GCM_Average_8	GCM1
GCM_Average_8	GCM2
GCM_M5304_1.01	GCM1
GCM_M5304_1.01	GCM2
C2H2_ZF_Average_217	ZNF423
C2H2_ZF_M1842_1.01	PLAG1
AP-2_Average_26	TFAP2A
AP-2_Average_26	TFAP2B
AP-2_Average_26	TFAP2C
AP-2_Average_26	TFAP2E
AP-2_Average_17	TFAP2A
AP-2_Average_17	TFAP2C
AP-2_Average_17	TFAP2E
AP-2_Average_27	TFAP2A
AP-2_Average_27	TFAP2B
AP-2_Average_27	TFAP2C
AP-2_Average_27	TFAP2E
AP-2_Average_15	TFAP2A
AP-2_Average_15	TFAP2B
AP-2_Average_15	TFAP2C
AP-2_Average_15	TFAP2E
bHLH_Average_143	EBF1
AP-2_M5965_1.01	TFAP2A
AP-2_M5965_1.01	TFAP2C
AP-2_M5965_1.01	TFAP2D
AP-2_M5965_1.01	TFAP2E
MBD_Average_1	MBD2
MBD_Average_1	MECP2
SAND_Average_9	GMEB1
SAND_Average_9	GMEB2
Mixed_Average_23	ZBTB1
Mixed_Average_23	PRDM11
CxxC_M6004_1.01	CXXC1
p53_Average_10	TP53
p53_Average_10	TP63
p53_Average_10	TP73
p53_Average_8	TP53
p53_Average_8	TP63
p53_Average_8	TP73
Grainyhead_Average_6	TFCP2
Grainyhead_Average_6	UBP1
Grainyhead_M6333_1.01	TFCP2
Grainyhead_M2949_1.01	TFCP2
C2H2_ZF_Average_123	ZIC1
C2H2_ZF_Average_123	ZIC2
C2H2_ZF_Average_123	ZIC3
C2H2_ZF_Average_123	ZIC4
C2H2_ZF_Average_123	ZIC5
C2H2_ZF_Average_141	GLIS1
C2H2_ZF_Average_141	GLIS2
C2H2_ZF_Average_141	GLIS3
C2H2_ZF_M5569_1.01	PRDM4
RFX_Average_9	RFX1
RFX_Average_9	RFX2
RFX_Average_9	RFX3
RFX_Average_9	RFX4
RFX_Average_9	RFX5
RFX_Average_9	RFX6
RFX_Average_9	RFX7
Ets_Average_39	ELK1
Ets_Average_39	ELK3
Ets_Average_39	ELK4
Ets_Average_39	ERF
Ets_Average_39	ERG
Ets_Average_39	ETS1
Ets_Average_39	ETS2
Ets_Average_39	ETV1
Ets_Average_39	ETV2
Ets_Average_39	ETV3
Ets_Average_39	FEV
Ets_Average_39	FLI1
Ets_Average_39	GABPA
Ets_Average_72	ETS1
Ets_M5201_1.01	ELK1
Ets_M5201_1.01	ELK3
Ets_M5201_1.01	ELK4
Ets_M5201_1.01	ERF
Ets_M5201_1.01	ERG
Ets_M5201_1.01	ETS1
Ets_M5201_1.01	ETS2
Ets_M5201_1.01	ETV1
Ets_M5201_1.01	ETV2
Ets_M5201_1.01	ETV3
Ets_M5201_1.01	FEV
Ets_M5201_1.01	GABPA
C2H2_ZF_M5333_1.01	HINFP
C2H2_ZF_M5334_1.01	HINFP
C2H2_ZF_M4537_1.01	REST
C2H2_ZF_Average_154	REST
Ets_Average_34	SPDEF
Sox_Average_97	LEF1
Sox_Average_97	TCF7
Sox_Average_97	TCF7L1
Sox_Average_97	TCF7L2
Sox_M6295_1.01	SOX11
Sox_M6295_1.01	SOX4
Sox_Average_48	LEF1
Sox_Average_48	TCF7
Sox_Average_48	TCF7L1
Sox_Average_48	TCF7L2
Nuclear_receptor_M6202_1.01	NR1H2
Nuclear_receptor_M6210_1.01	NR2E3
Nuclear_receptor_Average_170	HNF4A
Nuclear_receptor_Average_170	HNF4B
Nuclear_receptor_Average_170	HNF4G
Nuclear_receptor_Average_170	NR2C2
Nuclear_receptor_Average_170	NR2F1
Nuclear_receptor_Average_170	NR2F2
Nuclear_receptor_Average_170	NR2F5
Nuclear_receptor_Average_170	NR2F6
Nuclear_receptor_Average_170	PPARA
Nuclear_receptor_Average_170	PPARD
Nuclear_receptor_Average_170	PPARG
Nuclear_receptor_Average_170	RXRA
Nuclear_receptor_Average_170	RXRB
Nuclear_receptor_Average_170	RXRG
Nuclear_receptor_Average_172	NR2F1
Nuclear_receptor_Average_172	NR2F2
Nuclear_receptor_Average_172	NR2F5
Nuclear_receptor_Average_172	NR2F6
Nuclear_receptor_Average_172	RARA
Nuclear_receptor_Average_172	RARB
Nuclear_receptor_Average_172	RARG
Nuclear_receptor_Average_172	RORA
Nuclear_receptor_Average_172	RORB.2
Nuclear_receptor_Average_172	RORC
Nuclear_receptor_Average_73	NR2E1
Nuclear_receptor_M2830_1.01	NR2F1
Nuclear_receptor_M2830_1.01	NR2F2
Nuclear_receptor_M2830_1.01	NR2F5
Nuclear_receptor_M2830_1.01	NR2F6
C2H2_ZF_Average_187	HINFP
bZIP_M5866_1.01	MAF
bZIP_M5866_1.01	MAFA
bZIP_M5866_1.01	MAFB
Mixed_Average_18	MAF
Mixed_Average_18	MAFA
Mixed_Average_18	MAFB
Mixed_Average_18	MAFF
Mixed_Average_18	MAFG
Mixed_Average_18	MAFK
Mixed_Average_18	NRL
Mixed_Average_18	CIC
bZIP_M6149_1.01	MAF
bZIP_M6149_1.01	MAFA
bZIP_M6149_1.01	NRL
Paired_box_M6228_1.01	PAX1
Paired_box_M6228_1.01	PAX5
Paired_box_M6228_1.01	PAX8
Paired_box_M6228_1.01	PAX9
Nuclear_receptor_M6352_1.01	NR1I2
Nuclear_receptor_M6352_1.01	VDR
Nuclear_receptor_Average_58	NR1I2
Nuclear_receptor_Average_58	VDR
Nuclear_receptor_M6203_1.01	NR1H2
Nuclear_receptor_M6203_1.01	NR1H4
Nuclear_receptor_M6203_1.01	NR1H5
Nuclear_receptor_M5757_1.01	THRA
Nuclear_receptor_M5757_1.01	THRB
Nuclear_receptor_M5758_1.01	THRA
Nuclear_receptor_M5758_1.01	THRB
Nuclear_receptor_Average_154	THRA
Nuclear_receptor_Average_154	THRB
Nuclear_receptor_Average_175	ESRRA
Nuclear_receptor_Average_175	ESRRB
Nuclear_receptor_Average_175	ESRRG
Nuclear_receptor_Average_175	ESRRGR
Nuclear_receptor_Average_175	NR1I2
Nuclear_receptor_Average_175	NR1I3
Nuclear_receptor_Average_175	RARA
Nuclear_receptor_Average_175	RARB
Nuclear_receptor_Average_175	RARG
Nuclear_receptor_M6263_1.01	RARA
Nuclear_receptor_M6263_1.01	RARB
Nuclear_receptor_M6263_1.01	RARG
Nuclear_receptor_Average_144	ESRRA
Nuclear_receptor_Average_144	ESRRB
Nuclear_receptor_Average_144	ESRRG
Nuclear_receptor_Average_144	ESRRGR
Nuclear_receptor_Average_144	RARA
Nuclear_receptor_Average_144	RARB
Nuclear_receptor_Average_144	RARG
Nuclear_receptor_Average_144	RORA
Nuclear_receptor_Average_144	RORB.2
Nuclear_receptor_Average_144	RORC
Nuclear_receptor_M6265_1.01	RARA
Nuclear_receptor_M6265_1.01	RARB
Nuclear_receptor_M6265_1.01	RARG
Nuclear_receptor_M5504_1.01	NR4A1
Nuclear_receptor_M5504_1.01	NR4A2
Nuclear_receptor_M5504_1.01	NR4A3
Nuclear_receptor_Average_176	ESR1
Nuclear_receptor_Average_176	ESR2
Nuclear_receptor_Average_176	ESRRA
Nuclear_receptor_Average_176	ESRRB
Nuclear_receptor_Average_176	ESRRG
Nuclear_receptor_Average_176	ESRRGR
Nuclear_receptor_Average_176	PPARA
Nuclear_receptor_Average_176	PPARD
Nuclear_receptor_Average_176	PPARG
Nuclear_receptor_Average_174	ESR1
Nuclear_receptor_Average_174	ESR2
Nuclear_receptor_Average_174	ESRRA
Nuclear_receptor_Average_174	ESRRB
Nuclear_receptor_Average_174	ESRRG
Nuclear_receptor_Average_174	ESRRGR
Nuclear_receptor_Average_174	NR1I2
Nuclear_receptor_Average_174	NR1I3
Nuclear_receptor_Average_174	NR2C1
Nuclear_receptor_Average_174	NR2C2
Nuclear_receptor_Average_174	NR2E1
Nuclear_receptor_Average_174	NR2F1
Nuclear_receptor_Average_174	NR2F2
Nuclear_receptor_Average_174	NR2F5
Nuclear_receptor_Average_174	NR2F6
Nuclear_receptor_Average_174	NR4A1
Nuclear_receptor_Average_174	NR4A2
Nuclear_receptor_Average_174	NR4A3
Nuclear_receptor_Average_174	NR5A1
Nuclear_receptor_Average_174	NR5A2
Nuclear_receptor_Average_174	PPARA
Nuclear_receptor_Average_174	PPARD
Nuclear_receptor_Average_174	PPARG
Nuclear_receptor_Average_174	RARA
Nuclear_receptor_Average_174	RARB
Nuclear_receptor_Average_174	RARG
Nuclear_receptor_Average_174	RORA
Nuclear_receptor_Average_174	RORB
Nuclear_receptor_Average_174	RORB.2
Nuclear_receptor_Average_174	RORC
Nuclear_receptor_Average_174	RXRA
Nuclear_receptor_Average_174	RXRB
Nuclear_receptor_Average_174	RXRG
Nuclear_receptor_Average_174	THRA
Nuclear_receptor_Average_174	THRB
Nuclear_receptor_Average_174	VDR
Nuclear_receptor_Average_151	NR1D1
Nuclear_receptor_Average_151	NR1D2
Nuclear_receptor_Average_151	RORA
Nuclear_receptor_Average_151	RORB.2
Nuclear_receptor_Average_151	RORC
Nuclear_receptor_Average_63	NR2E1
bZIP_Average_117	ATF3
bZIP_Average_146	ATF3
bZIP_Average_146	FOS
bZIP_Average_146	FOSB
bZIP_Average_146	FOSL1
bZIP_Average_146	FOSL2
bZIP_Average_146	JUN
bZIP_Average_146	JUNB
bZIP_Average_146	JUND
bZIP_Average_146	JUND.2
bZIP_Average_146	MAFG
bZIP_Average_146	MAFK
bZIP_Average_146	NFE2L1
bZIP_Average_146	NFE2L3
Homeodomain_Paired_box_Average_6	PAX2
bZIP_Average_134	ATF1
bZIP_Average_134	ATF2
bZIP_Average_134	ATF7
bZIP_Average_134	CREB1
bZIP_Average_134	CREB5
bZIP_M0304_1.01	JUN
bZIP_M0304_1.01	JUNB
bZIP_M0304_1.01	JUND.2
Mixed_Average_40	MEIS1
Mixed_Average_40	MEIS2
Mixed_Average_40	MEIS3
Mixed_Average_40	PKNOX1
Mixed_Average_40	PKNOX2
Mixed_Average_40	SNAI1
Mixed_Average_40	SNAI3
Mixed_Average_40	MEIS1
Mixed_Average_40	MEIS2
Mixed_Average_40	MEIS3
Mixed_Average_40	PKNOX2
Mixed_Average_40	TGIF1
Mixed_Average_40	TGIF2
Homeodomain_Paired_box_M3583_1.01	PAX3
Homeodomain_Paired_box_M3583_1.01	PAX7
Paired_box_M3591_1.01	PAX1
Paired_box_M3591_1.01	PAX5
Paired_box_M3591_1.01	PAX8
Paired_box_M3591_1.01	PAX9
Mixed_Average_16	PAX2
Mixed_Average_16	PAX6
Mixed_Average_16	PAX1
Mixed_Average_16	PAX5
Mixed_Average_16	PAX8
Mixed_Average_16	PAX9
Paired_box_Average_6	PAX1
Paired_box_Average_6	PAX5
Paired_box_Average_6	PAX8
Paired_box_Average_6	PAX9
Homeodomain_Paired_box_Average_10	PAX2
Homeodomain_Paired_box_M3585_1.01	PAX4
bHLH_M0187_1.01	SREBF2
bHLH_M2787_1.01	AHR
bHLH_M2787_1.01	AHRR
C2H2_ZF_M6139_1.01	ZBTB33
bHLH_Average_139	SREBF1
bHLH_Average_139	SREBF2
bHLH_Average_115	SREBF1
bHLH_Average_115	SREBF2
Mixed_Average_9	SMARCC1
Mixed_Average_9	SMARCC2
Mixed_Average_9	ATF3
Mixed_Average_9	BACH1
Mixed_Average_9	BACH2
Mixed_Average_9	BATF
Mixed_Average_9	BATF3
Mixed_Average_9	FOS
Mixed_Average_9	FOSB
Mixed_Average_9	FOSL1
Mixed_Average_9	FOSL2
Mixed_Average_9	JUN
Mixed_Average_9	JUNB
Mixed_Average_9	JUND
Mixed_Average_9	JUND.2
Mixed_Average_9	NFE2
Mixed_Average_9	NFE2L2
IRF_M4333_1.01	IRF4
bZIP_Average_148	BACH1
bZIP_Average_148	BACH2
bZIP_Average_148	MAF
bZIP_Average_148	MAFA
bZIP_Average_148	MAFB
bZIP_Average_148	MAFF
bZIP_Average_148	MAFG
bZIP_Average_148	MAFK
bZIP_Average_148	NFE2
bZIP_Average_148	NFE2L2
bZIP_Average_148	NFE2L3
bZIP_M4371_1.01	JUN
bZIP_M4371_1.01	JUNB
bZIP_M4371_1.01	JUND.2
Homeodomain_Average_399	HOXA1
Homeodomain_Average_399	HOXA10
Homeodomain_Average_399	HOXA2
Homeodomain_Average_399	HOXA3
Homeodomain_Average_399	HOXA5
Homeodomain_Average_399	HOXA6
Homeodomain_Average_399	HOXA7
Homeodomain_Average_399	HOXA9
Homeodomain_Average_399	HOXB2
Homeodomain_Average_399	HOXB3
Homeodomain_Average_399	HOXB4
Homeodomain_Average_399	HOXB5
Homeodomain_Average_399	HOXB6
Homeodomain_Average_399	HOXB7
Homeodomain_Average_399	HOXB8
Homeodomain_Average_399	HOXB9
Homeodomain_Average_399	HOXC10
Homeodomain_Average_399	HOXC3
Homeodomain_Average_399	HOXC4
Homeodomain_Average_399	HOXC5
Homeodomain_Average_399	HOXC6
Homeodomain_Average_399	HOXC8
Homeodomain_Average_399	HOXC9
Homeodomain_Average_399	HOXD10
Homeodomain_Average_399	HOXD3
Homeodomain_Average_399	HOXD4
Homeodomain_Average_399	HOXD8
Homeodomain_Average_399	HOXD9
Homeodomain_Average_399	PBX1
Homeodomain_Average_399	PBX2
Homeodomain_Average_399	PBX3
Homeodomain_Average_399	PDX1
Homeodomain_M6238_1.01	PKNOX1
Homeodomain_M6238_1.01	PKNOX2
Paired_box_M6230_1.01	PAX1
Paired_box_M6230_1.01	PAX5
Paired_box_M6230_1.01	PAX8
Paired_box_M6230_1.01	PAX9
Homeodomain_Average_200	MEIS1
Homeodomain_Average_200	MEIS2
Homeodomain_Average_200	MEIS3
Homeodomain_Average_200	PKNOX1
Homeodomain_Average_200	PKNOX2
Homeodomain_Average_200	TGIF1
Homeodomain_Average_200	TGIF2
Homeodomain_Average_139	HOXA10
Homeodomain_Average_139	HOXA6
Homeodomain_Average_139	HOXA7
Homeodomain_Average_139	HOXA9
Homeodomain_Average_139	HOXB7
Homeodomain_Average_139	HOXB9
Homeodomain_Average_139	HOXC10
Homeodomain_Average_139	HOXC6
Homeodomain_Average_139	HOXC9
Homeodomain_Average_139	HOXD10
Homeodomain_Average_139	HOXD9
Homeodomain_Average_139	MEIS1
Homeodomain_Average_139	MEIS2
Homeodomain_Average_139	MEIS3
Homeodomain_Average_139	PKNOX2
bZIP_M3883_1.01	ATF1
bZIP_M3883_1.01	CREB1
bZIP_Average_67	ATF4
bZIP_Average_67	ATF5
bZIP_Average_67	ATF5.2
Grainyhead_M6348_1.01	TFCP2
Grainyhead_M6348_1.01	UBP1
SMAD_M6282_1.01	SMAD1
SMAD_M6282_1.01	SMAD9
SMAD_Average_5	SMAD2
SMAD_Average_5	SMAD3
SMAD_Average_5	SMAD9
bHLH_M6087_1.01	HAND1
bHLH_M6087_1.01	HAND2
SMAD_M6283_1.01	SMAD2
SMAD_M5627_1.01	SMAD2
SMAD_M5627_1.01	SMAD3
SMAD_M5627_1.01	SMAD9
Nuclear_receptor_Average_62	RXRA
Nuclear_receptor_Average_62	RXRB
Nuclear_receptor_Average_62	RXRG
bZIP_Average_150	ATF1
bZIP_Average_150	ATF2
bZIP_Average_150	ATF3
bZIP_Average_150	ATF7
bZIP_Average_150	BATF
bZIP_Average_150	BATF3
bZIP_Average_150	CREB1
bZIP_Average_150	CREB3
bZIP_Average_150	CREB3L3
bZIP_Average_150	CREB3L4
bZIP_Average_150	CREB5
bZIP_Average_150	CREM
bZIP_Average_150	JUN
bZIP_Average_150	JUNB
bZIP_Average_150	JUND
bZIP_Average_150	JUND.2
bZIP_Average_150	XBP1
C2H2_ZF_M6016_1.01	E4F1
Mixed_Average_65	CREBZF
Mixed_Average_65	GMEB2
bZIP_Average_142	ATF6
bZIP_Average_142	ATF6B
bZIP_Average_142	CREB3
bZIP_Average_142	CREB3L1
bZIP_Average_142	CREB3L2
bZIP_Average_142	CREB3L3
bZIP_Average_142	CREB3L4
bZIP_Average_142	XBP1
SAND_M5314_1.01	GMEB2
Homeodomain_Average_268	HOXA10
Homeodomain_Average_268	HOXA11
Homeodomain_Average_268	HOXA13
Homeodomain_Average_268	HOXA5
Homeodomain_Average_268	HOXA6
Homeodomain_Average_268	HOXA7
Homeodomain_Average_268	HOXA9
Homeodomain_Average_268	HOXB5
Homeodomain_Average_268	HOXB7
Homeodomain_Average_268	HOXB9
Homeodomain_Average_268	HOXC10
Homeodomain_Average_268	HOXC11
Homeodomain_Average_268	HOXC12
Homeodomain_Average_268	HOXC13
Homeodomain_Average_268	HOXC5
Homeodomain_Average_268	HOXC6
Homeodomain_Average_268	HOXC9
Homeodomain_Average_268	HOXD10
Homeodomain_Average_268	HOXD11
Homeodomain_Average_268	HOXD13
Homeodomain_Average_268	HOXD9
C2H2_ZF_Average_83	ZBTB6
C2H2_ZF_M4502_1.01	SP1
C2H2_ZF_M4502_1.01	SP2
C2H2_ZF_M4502_1.01	SP3
C2H2_ZF_M4502_1.01	SP4
C2H2_ZF_M4502_1.01	SP5
C2H2_ZF_M4502_1.01	SP6
C2H2_ZF_M4502_1.01	SP7
C2H2_ZF_M4502_1.01	SP8
C2H2_ZF_M4502_1.01	SP9
C2H2_ZF_M5778_1.01	ZBTB49
T-box_Average_6	TBX1
T-box_Average_6	TBX15
T-box_Average_6	TBX18
T-box_Average_6	TBX20
T-box_Average_6	TBX22
T-box_M5698_1.01	TBX1
T-box_M5698_1.01	TBX20
T-box_M5694_1.01	TBX1
T-box_M5694_1.01	TBX20
bHLH_M2134_1.01	ATOH1
bHLH_M2134_1.01	ATOH7
bHLH_M2134_1.01	NEUROD1
bHLH_M2134_1.01	NEUROD4
bHLH_M2134_1.01	NEUROD6
C2H2_ZF_Average_77	ZNF238.2
bHLH_Average_145	MSC
bHLH_Average_145	NEUROD1
bHLH_Average_145	NEUROD2
bHLH_Average_145	NEUROD4
bHLH_Average_145	NEUROD6
bHLH_Average_145	NEUROG1
bHLH_Average_145	NEUROG2
bHLH_Average_145	NEUROG3
bHLH_Average_145	TCF15
bHLH_Average_145	TCF21
bHLH_Average_145	TCF23
bHLH_Average_140	ATOH1
bHLH_Average_140	ATOH7
bHLH_Average_140	ATOH8
bHLH_Average_140	BHLHA15
bHLH_Average_140	BHLHE22
bHLH_Average_140	BHLHE23
bHLH_Average_140	MSC
bHLH_Average_140	NEUROD1
bHLH_Average_140	NEUROD2
bHLH_Average_140	NEUROD4
bHLH_Average_140	NEUROD6
bHLH_Average_140	NEUROG1
bHLH_Average_140	NEUROG2
bHLH_Average_140	NEUROG3
bHLH_Average_140	OLIG1
bHLH_Average_140	OLIG2
bHLH_Average_140	OLIG3
bHLH_Average_140	OLIG4
bHLH_Average_140	SCX
bHLH_Average_140	TAL2
bHLH_Average_140	TCF15
bHLH_Average_140	TCF21
bHLH_Average_140	TCF23
bHLH_Average_140	TWIST1
bHLH_Average_140	TWIST2
bHLH_Average_151	MYF5
bHLH_Average_151	MYF6
bHLH_Average_151	MYOD1
bHLH_Average_151	MYOG
Mixed_Average_58	HES3.1
Mixed_Average_58	HES3.3
Mixed_Average_58	HES5.1
Mixed_Average_58	HES5.2
Mixed_Average_58	HES9.1
Mixed_Average_58	CREB3
Mixed_Average_58	CREB3L1
Mixed_Average_58	CREB3L2
Mixed_Average_58	CREB3L3
Mixed_Average_58	ATF3
Mixed_Average_58	CREB3
Mixed_Average_58	CREB3L2
Mixed_Average_58	CREB3L3
Mixed_Average_58	ARNT
Mixed_Average_58	ARNT2
Mixed_Average_58	ARNTL
Mixed_Average_58	ARNTL2
Mixed_Average_53	MAX
Mixed_Average_53	ARNT
Mixed_Average_53	ARNT2
Mixed_Average_53	ARNTL
Mixed_Average_53	ARNTL2
Mixed_Average_53	BHLHE40
Mixed_Average_53	BHLHE41
Mixed_Average_53	CLOCK
Mixed_Average_53	HEY1
Mixed_Average_53	HEY2
Mixed_Average_53	ID2
Mixed_Average_53	ID3
Mixed_Average_53	ID4
Mixed_Average_53	MITF
Mixed_Average_53	MLX
Mixed_Average_53	MLXIP
Mixed_Average_53	MLXIPL
Mixed_Average_53	MNT
Mixed_Average_53	MXI1
Mixed_Average_53	MYC
Mixed_Average_53	MYCN
Mixed_Average_53	NPAS2
Mixed_Average_53	PASD1
Mixed_Average_53	SREBF1
Mixed_Average_53	SREBF2
Mixed_Average_53	TFE3
Mixed_Average_53	TFEB
Mixed_Average_53	TFEC
Mixed_Average_53	USF1
Mixed_Average_53	USF2
Mixed_Average_53	ENO1
Mixed_Average_53	BHLHE40
Mixed_Average_53	BHLHE41
Mixed_Average_53	CLOCK
Mixed_Average_53	HES1
Mixed_Average_53	HES2
Mixed_Average_53	HES3.1
Mixed_Average_53	HES3.3
Mixed_Average_53	HES4
Mixed_Average_53	HES5.1
Mixed_Average_53	HES5.2
Mixed_Average_53	HES9.1
Mixed_Average_53	MAX
Mixed_Average_53	MITF
Mixed_Average_53	MLX
Mixed_Average_53	MNT
Mixed_Average_53	NPAS2
Mixed_Average_53	PASD1
Mixed_Average_53	TCFL5
Mixed_Average_53	TFEB
Mixed_Average_53	TFEC
Mixed_Average_35	ASCL1
Mixed_Average_35	ASCL2
Mixed_Average_35	ATOH1
Mixed_Average_35	ATOH7
Mixed_Average_35	ATOH8
Mixed_Average_35	FIGLA
Mixed_Average_35	ID2
Mixed_Average_35	ID3
Mixed_Average_35	ID4
Mixed_Average_35	LYL1
Mixed_Average_35	MESP2
Mixed_Average_35	MESPA
Mixed_Average_35	MESPB
Mixed_Average_35	MSC
Mixed_Average_35	MSGN1
Mixed_Average_35	MYF5
Mixed_Average_35	MYF6
Mixed_Average_35	MYOD1
Mixed_Average_35	MYOG
Mixed_Average_35	NEUROD1
Mixed_Average_35	NEUROD2
Mixed_Average_35	NEUROD4
Mixed_Average_35	NEUROD6
Mixed_Average_35	NEUROG1
Mixed_Average_35	NEUROG2
Mixed_Average_35	NEUROG3
Mixed_Average_35	NHLH1
Mixed_Average_35	SCX
Mixed_Average_35	TAL1
Mixed_Average_35	TAL2
Mixed_Average_35	TCF12
Mixed_Average_35	TCF15
Mixed_Average_35	TCF21
Mixed_Average_35	TCF23
Mixed_Average_35	TCF3
Mixed_Average_35	TCF4
Mixed_Average_35	TFAP4
Mixed_Average_35	TWIST1
Mixed_Average_35	TWIST2
Mixed_Average_35	LMO2
Mixed_Average_35	ZEB1
Mixed_Average_35	SNAI1
Mixed_Average_35	SNAI2
Mixed_Average_35	SNAI3
bHLH_M5980_1.01	BHLHE40
bHLH_M5980_1.01	BHLHE41
bHLH_M0177_1.01	ARNT
bHLH_M0177_1.01	ARNT2
bHLH_Average_154	HES1
bHLH_Average_154	HES2
bHLH_Average_154	HES4
bHLH_Average_154	HEY1
bHLH_Average_154	HEY2
Homeodomain_M6091_1.01	HESX1
Homeodomain_M6338_1.01	TGIF1
Homeodomain_M6338_1.01	TGIF2
bHLH_M6260_1.01	PTF1A
bHLH_M6165_1.01	MLXIPL
bHLH_bZIP_M5432_1.01	MAX
C2H2_ZF_Average_82	SCRT2
Forkhead_Average_1	FOXA1
Forkhead_Average_1	FOXA2
Forkhead_Average_1	FOXA4
Forkhead_Average_1	FOXB1
Forkhead_Average_1	FOXB2
Forkhead_Average_1	FOXC1
Forkhead_Average_1	FOXC2
Forkhead_Average_1	FOXD1
Forkhead_Average_1	FOXD2
Forkhead_Average_1	FOXD3
Forkhead_Average_1	FOXD4L1.1
Forkhead_Average_1	FOXD4L1.2
Forkhead_Average_1	FOXE1
Forkhead_Average_1	FOXE3
Forkhead_Average_1	FOXF1
Forkhead_Average_1	FOXF2
Forkhead_Average_1	FOXG1
Forkhead_Average_1	FOXI1
Forkhead_Average_1	FOXI2
Forkhead_Average_1	FOXI4.1
Forkhead_Average_1	FOXI4.2
Forkhead_Average_1	FOXJ1
Forkhead_Average_1	FOXJ1.2
Forkhead_Average_1	FOXJ2
Forkhead_Average_1	FOXJ3
Forkhead_Average_1	FOXK2
Forkhead_Average_1	FOXL1
Forkhead_Average_1	FOXL2
Forkhead_Average_1	FOXQ1
MADS_box_Average_20	SRF
MADS_box_M3822_1.01	SRF
Nuclear_receptor_Average_167	NR4A1
Nuclear_receptor_Average_167	NR4A2
Nuclear_receptor_Average_167	NR4A3
Nuclear_receptor_Average_167	THRA
Nuclear_receptor_Average_167	THRB
p53_M3568_1.01	TP53
