motif	factor
Homeodomain_M5856_1.01	IRX3
Homeodomain_M5856_1.01	IRX4
Homeodomain_M5856_1.01	IRX5
Homeodomain_M5856_1.01	IRX6
Homeodomain_Average_371	EN1
Homeodomain_Average_371	EN2
Homeodomain_Average_371	GBX1
Homeodomain_Average_371	GBX2.1
Homeodomain_Average_371	GBX2.2
Homeodomain_Average_43	EMX1
Homeodomain_Average_43	EMX1.2
Homeodomain_Average_43	EMX2
Homeodomain_POU_M5566_1.01	POU6F1
Homeodomain_POU_M5566_1.01	POU6F2
Homeodomain_Average_132	LHX2
Homeodomain_Average_132	LHX9
Homeodomain_Average_132	MEOX2
Homeodomain_Average_332	ALX1
Homeodomain_Average_332	ALX4
Homeodomain_Average_332	ARX
Homeodomain_Average_332	CRX
Homeodomain_Average_332	DMBX1
Homeodomain_Average_332	DRGX
Homeodomain_Average_332	ISX
Homeodomain_Average_332	OTP
Homeodomain_Average_332	OTX2
Homeodomain_Average_332	PAX3
Homeodomain_Average_332	PHOX2A
Homeodomain_Average_332	PHOX2B
Homeodomain_Average_332	PRRX1
Homeodomain_Average_332	PRRX2
Homeodomain_Average_332	RAX
Homeodomain_Average_332	SHOX
Homeodomain_Average_332	SHOX2
Homeodomain_Average_332	UNCX
Homeodomain_Average_332	VSX2
Homeodomain_Average_33	CRX
Homeodomain_Average_33	OTP
Homeodomain_Average_33	OTX1
Homeodomain_Average_33	OTX2
Homeodomain_Average_33	PHOX2A
Homeodomain_Average_33	PHOX2B
Homeodomain_M5413_1.01	LBX1
Homeodomain_M3510_1.01	NKX6-1
Homeodomain_M3510_1.01	NKX6-2
Homeodomain_M3510_1.01	NKX6-3
Homeodomain_M3298_1.01	HOXA1
Homeodomain_M3298_1.01	HOXA2
Homeodomain_M3298_1.01	HOXA3
Homeodomain_M3298_1.01	HOXA5
Homeodomain_M3298_1.01	HOXA6
Homeodomain_M3298_1.01	HOXA7
Homeodomain_M3298_1.01	HOXB2
Homeodomain_M3298_1.01	HOXB3
Homeodomain_M3298_1.01	HOXB4
Homeodomain_M3298_1.01	HOXB5
Homeodomain_M3298_1.01	HOXB7
Homeodomain_M3298_1.01	HOXB8
Homeodomain_M3298_1.01	HOXB9
Homeodomain_M3298_1.01	HOXC3
Homeodomain_M3298_1.01	HOXC4
Homeodomain_M3298_1.01	HOXC5
Homeodomain_M3298_1.01	HOXC6
Homeodomain_M3298_1.01	HOXC8
Homeodomain_M3298_1.01	HOXC9
Homeodomain_M3298_1.01	HOXD3
Homeodomain_M3298_1.01	HOXD4
Homeodomain_M3298_1.01	HOXD8
Homeodomain_M3298_1.01	PDX1
Mixed_Average_25	HMG20B
Mixed_Average_25	ZNF333
Homeodomain_Average_385	ALX1
Homeodomain_Average_385	ALX4
Homeodomain_Average_385	ARX
Homeodomain_Average_385	CRX
Homeodomain_Average_385	DMBX1
Homeodomain_Average_385	GSC
Homeodomain_Average_385	GSC2
Homeodomain_Average_385	OTP
Homeodomain_Average_385	OTX1
Homeodomain_Average_385	OTX2
Homeodomain_Average_385	PHOX2A
Homeodomain_Average_385	PHOX2B
Homeodomain_Average_385	PITX1
Homeodomain_Average_385	PITX2
Homeodomain_Average_385	PITX3
