Motif	Factor	Evidence	Curated
Rel_Average_25	NFKB1	ChIP-seq	Y
Rel_Average_25	NFKB2	ChIP-seq	Y
C2H2_ZF_M6363_1.01	HIVEP1	ChIP-seq	Y
C2H2_ZF_M6363_1.01	HIVEP2	ChIP-seq	Y
C2H2_ZF_M6363_1.01	HIVEP3	ChIP-seq	Y
Rel_Average_28	NFKB1	ChIP-seq	Y
Rel_Average_28	REL	ChIP-seq	Y
Rel_Average_28	RELA	ChIP-seq	Y
Rel_Average_28	RELB	ChIP-seq	Y
C2H2_ZF_M6364_1.01	HIVEP1	ChIP-seq	Y
C2H2_ZF_M6364_1.01	HIVEP2	ChIP-seq	Y
C2H2_ZF_M6364_1.01	HIVEP3	ChIP-seq	Y
Rel_M6189_1.01	NFKB2	ChIP-seq	Y
STAT_Average_23	STAT1	ChIP-seq	Y
STAT_Average_23	STAT3.1	ChIP-seq	Y
STAT_Average_23	STAT4	ChIP-seq	Y
STAT_Average_23	STAT5B	ChIP-seq	Y
STAT_M3856_1.01	STAT5B	ChIP-seq	Y
C2H2_ZF_Average_202	BCL6	ChIP-seq	Y
STAT_Average_16	STAT6	ChIP-seq	Y
STAT_Average_22	STAT1	ChIP-seq	Y
STAT_Average_22	STAT4	ChIP-seq	Y
STAT_Average_22	STAT5B	ChIP-seq	Y
STAT_Average_22	STAT6	ChIP-seq	Y
Ets_Average_109	EHF	ChIP-seq	Y
Ets_Average_109	ELF1	ChIP-seq	Y
Ets_Average_109	ELF2	ChIP-seq	Y
Ets_Average_109	ELF3	ChIP-seq	Y
Ets_Average_109	ELF5	ChIP-seq	Y
Ets_Average_109	ELK1	ChIP-seq	Y
Ets_Average_109	ELK3	ChIP-seq	Y
Ets_Average_109	ELK4	ChIP-seq	Y
Ets_Average_109	ERF	ChIP-seq	Y
Ets_Average_109	ERG	ChIP-seq	Y
Ets_Average_109	ETS1	ChIP-seq	Y
Ets_Average_109	ETS2	ChIP-seq	Y
Ets_Average_109	ETV1	ChIP-seq	Y
Ets_Average_109	ETV2	ChIP-seq	Y
Ets_Average_109	ETV3	ChIP-seq	Y
Ets_Average_109	ETV4	ChIP-seq	Y
Ets_Average_109	ETV6	ChIP-seq	Y
Ets_Average_109	ETV7	ChIP-seq	Y
Ets_Average_109	FEV	ChIP-seq	Y
Ets_Average_109	FLI1	ChIP-seq	Y
